year,month,area_id,age_group,saving_rate,heat_stroke_rate,elec_price,avg_temp,gdp_capita
2011,8,3,0_19,0.15,13.450906753540039,18.216678619384766,26.73337745666504,1649.7365445890632
2011,8,3,20_64,0.15,14.340588569641113,18.216678619384766,26.73337745666504,1649.7365445890632
2011,8,3,65,0.15,36.58698654174805,18.216678619384766,26.73337745666504,1649.7365445890632
2011,8,3,0_19,0.15,13.498370170593262,18.216678619384766,26.717058181762695,1649.7365445890632
2011,8,3,20_64,0.15,12.088151931762695,18.216678619384766,26.717058181762695,1649.7365445890632
2011,8,3,65,0.15,25.401460647583008,18.216678619384766,26.717058181762695,1649.7365445890632
2011,8,3,0_19,0.15,8.277535438537598,18.216678619384766,27.275672912597656,1649.7365445890632
2011,8,3,20_64,0.15,9.96152114868164,18.216678619384766,27.275672912597656,1649.7365445890632
2011,8,3,65,0.15,25.13822364807129,18.216678619384766,27.275672912597656,1649.7365445890632
2011,8,3,0_19,0.15,9.045369148254395,18.216678619384766,26.853612899780273,1649.7365445890632
2011,8,3,20_64,0.15,9.734456062316895,18.216678619384766,26.853612899780273,1649.7365445890632
2011,8,3,65,0.15,23.002681732177734,18.216678619384766,26.853612899780273,1649.7365445890632
2011,8,3,0_19,0.15,19.965476989746094,18.216678619384766,25.46636962890625,1649.7365445890632
2011,8,3,20_64,0.15,8.134957313537598,18.216678619384766,25.46636962890625,1649.7365445890632
2011,8,3,65,0.15,19.71830940246582,18.216678619384766,25.46636962890625,1649.7365445890632
2011,9,3,0_19,0.15,13.107040405273438,18.216678619384766,24.274486541748047,1649.7365445890632
2011,9,3,20_64,0.15,2.706373929977417,18.216678619384766,24.274486541748047,1649.7365445890632
2011,9,3,65,0.15,7.692307472229004,18.216678619384766,24.274486541748047,1649.7365445890632
2011,9,3,0_19,0.15,13.259668350219727,18.216678619384766,23.953325271606445,1649.7365445890632
2011,9,3,20_64,0.15,3.5264482498168945,18.216678619384766,23.953325271606445,1649.7365445890632
2011,9,3,65,0.15,5.816555023193359,18.216678619384766,23.953325271606445,1649.7365445890632
2011,9,3,0_19,0.15,15.224828720092773,18.216678619384766,24.64763641357422,1649.7365445890632
2011,9,3,20_64,0.15,3.335968255996704,18.216678619384766,24.64763641357422,1649.7365445890632
2011,9,3,65,0.15,6.471816062927246,18.216678619384766,24.64763641357422,1649.7365445890632
2011,9,3,0_19,0.15,5.087830066680908,18.216678619384766,25.03023910522461,1649.7365445890632
2011,9,3,20_64,0.15,2.746685266494751,18.216678619384766,25.03023910522461,1649.7365445890632
2011,9,3,65,0.15,7.038512706756592,18.216678619384766,25.03023910522461,1649.7365445890632
2011,9,3,0_19,0.15,5.193610191345215,18.216678619384766,25.235349655151367,1649.7365445890632
2011,9,3,20_64,0.15,2.4360153675079346,18.216678619384766,25.235349655151367,1649.7365445890632
2011,9,3,65,0.15,6.058393955230713,18.216678619384766,25.235349655151367,1649.7365445890632
2011,9,3,0_19,0.15,2.678290605545044,18.216678619384766,25.46622085571289,1649.7365445890632
2011,9,3,20_64,0.15,1.641264796257019,18.216678619384766,25.46622085571289,1649.7365445890632
